#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_1.CP_12.CP_7.TL_0.TRADE_4377.COPY_0,Swap,2025-07-14,9.435878,-3969458.638270,EUR,-3969458.638270,EUR,40659496.68,40659496.68,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_4382.COPY_0,FxForward,2019-07-18,3.446837,-10732398.653749,EUR,-10732398.653749,EUR,71936096.09,71936096.09,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_4382.COPY_0,FxForward,2019-07-18,3.446837,12152692.094391,USD,10732398.653749,EUR,83588897.39,73819805.76,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_5886.COPY_0,FxForward,2020-08-29,4.562842,-2856771.007285,EUR,-2856771.007285,EUR,17934578.94,17934578.94,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_5886.COPY_0,FxForward,2020-08-29,4.562842,3234827.512076,USD,2856771.007285,EUR,20953976.52,18505070.95,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_5988.COPY_0,Swap,2017-06-12,1.348207,139820.384277,EUR,139820.384277,EUR,7309292.66,7309292.66,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_5988.COPY_0,Swap,2017-06-12,1.348207,-139820.384277,EUR,-139820.384277,EUR,7309292.66,7309292.66,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_6041.COPY_0,Swap,2022-02-21,6.044098,-3918775.257002,EUR,-3918775.257002,EUR,45270772.51,45270772.51,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_6041.COPY_0,Swap,2022-02-21,6.044098,3918775.257002,EUR,3918775.257002,EUR,45270772.51,45270772.51,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_6231.COPY_0,Swap,2023-02-03,6.994783,3588981.630527,EUR,3588981.630527,EUR,65532249.68,65532249.68,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_6231.COPY_0,Swap,2023-02-03,6.994783,-3588981.630527,EUR,-3588981.630527,EUR,65532249.68,65532249.68,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_6698.COPY_0,Swap,2021-07-05,5.411221,2472227.112079,EUR,2472227.112079,EUR,19605909.86,19605909.86,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
FS_1.CP_12.CP_7.TL_0.TRADE_6698.COPY_0,Swap,2021-07-05,5.411221,-2472227.112079,EUR,-2472227.112079,EUR,19605909.86,19605909.86,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_7.CP_12.TL_0.TRADE_9783.COPY_0,Swap,2017-07-26,1.468755,-936464.007799,EUR,-936464.007799,EUR,72388338.28,72388338.28,FS_1.CP_7.CP_12.TL_0,FS_1.CP_12
